plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
39de4f,TVF95DU,France,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-3.2193,40.9777,5867.4,False,181.5,9.46,11.38,6301.74,0,0
39de4e,TVF10HW,France,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,25.0895,36.5625,11887.2,False,256.7,111.27,0.0,12565.38,0,0
80162c,AXB864,India,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,54.0766,25.8006,11887.2,False,243.92,107.17,0.0,12679.68,0,0
e8027e,LPE2423,Chile,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-54.5804,-26.7547,10972.8,False,175.05,310.95,0.0,11452.86,0,0
e8027d,LPE2352,Chile,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-76.8829,-11.9881,3840.48,False,181.15,331.69,10.73,4084.32,0,0
39de4b,TVF83EJ,France,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,21.8695,41.8364,10347.96,False,224.94,311.2,-0.33,10843.26,0,0
39de4d,TVF21CH,France,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,4.1623,48.3896,9433.56,False,231.07,97.81,5.53,9959.34,0,0
aa9321,UAL96,United States,2026-09-12 11:25:57+00:00,2026-09-12 11:25:57+00:00,-157.564,21.4564,10363.2,False,258.71,250.48,0.0,11041.38,0,0
39de4c,TVF12ZW,France,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,26.1457,41.8941,9364.98,False,222.54,117.99,-5.2,9837.42,0,0
39de57,TVF99KS,France,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,5.8779,46.0444,11887.2,False,248.12,135.84,0.0,12428.22,0,0
3ffc0f,DMMKG,Germany,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,12.8143,48.4288,2796.54,False,90.17,176.73,0.0,2971.8,0,0
39de59,TVF213M,France,2026-09-12 11:26:21+00:00,2026-09-12 11:26:28+00:00,15.7066,43.2557,11582.4,False,220.99,320.19,0.0,12009.12,0,0
801640,AIC2388,India,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,97.018,15.5762,10660.38,False,230.32,112.04,0.33,11338.56,0,0
ab6fdd,AAL1020,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-83.7635,34.5127,11277.6,False,229.51,178.59,0.0,11940.54,0,1
a3feee,N357BG,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-83.6084,41.557,1226.82,False,56.53,13.15,-0.65,1219.2,0,0
c07d20,JZA7952,Canada,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-75.0806,44.9489,7010.4,False,197.75,68.64,0.0,7322.82,0,0
3ffc0b,DMYIS,Germany,2026-09-12 11:23:39+00:00,2026-09-12 11:23:39+00:00,9.7033,52.4671,30.48,False,30.12,262.15,-3.25,160.02,0,0
3ffc20,DMDMP,Germany,2026-09-12 11:25:21+00:00,2026-09-12 11:25:26+00:00,12.3019,48.4394,563.88,False,38.73,129.61,,,0,0
80162e,,India,2026-09-12 11:23:58+00:00,2026-09-12 11:24:12+00:00,71.0982,22.6062,1981.2,False,98.82,14.47,-1.3,1996.44,0,0
39de54,TVF33VV,France,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,7.9451,45.7575,10957.56,False,213.26,305.38,0.0,11452.86,0,0
801647,IGO256E,India,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,89.1731,26.5395,11574.78,False,234.47,281.26,0.0,12367.26,0,0
acdfa6,AAL1618,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-88.6974,35.5576,11277.6,False,252.87,67.77,0.0,11879.58,0,0
4044d1,GURMS,United Kingdom,2026-09-12 11:21:41+00:00,2026-09-12 11:21:41+00:00,-1.1194,37.8928,883.92,False,43.63,322.18,-0.98,1021.08,0,0
