observation_time,temperature_850hPa,wind_speed_850hPa,wind_direction_850hPa,geopotential_height_850hPa,temperature_700hPa,wind_speed_700hPa,wind_direction_700hPa,geopotential_height_700hPa,temperature_500hPa,wind_speed_500hPa,wind_direction_500hPa,geopotential_height_500hPa,temperature_300hPa,wind_speed_300hPa,wind_direction_300hPa,geopotential_height_300hPa,temperature_250hPa,wind_speed_250hPa,wind_direction_250hPa,geopotential_height_250hPa,temperature_200hPa,wind_speed_200hPa,wind_direction_200hPa,geopotential_height_200hPa,latitude,longitude,elevation_m,location_id,timezone
2026-09-20 00:00:00+00:00,28.6,23.4,257,1527.0,13.1,21.0,214,3201.0,-4.2,23.2,21,5935.0,-30.5,6.0,270,9770.97,-41.0,2.7,27,11036.19,-52.5,14.0,250,12516.28,24.49912,54.423077,0.0,0,GMT
2026-09-20 01:00:00+00:00,28.6,24.8,253,1531.0,13.1,20.1,214,3204.0,-4.2,25.4,19,5937.0,-30.5,6.1,281,9774.19,-41.5,3.8,18,11040.0,-52.5,12.2,259,12518.61,24.49912,54.423077,0.0,0,GMT
2026-09-20 02:00:00+00:00,28.5,25.5,251,1531.0,12.9,21.0,214,3205.0,-4.0,29.2,19,5937.0,-30.5,7.6,288,9774.19,-41.5,3.8,18,11038.1,-52.5,12.1,264,12516.28,24.49912,54.423077,0.0,0,GMT
2026-09-20 03:00:00+00:00,28.5,25.2,250,1534.0,12.8,22.0,212,3207.0,-4.2,31.9,20,5939.0,-30.5,8.0,297,9774.19,-41.5,3.8,18,11040.0,-52.5,10.9,264,12516.28,24.49912,54.423077,0.0,0,GMT
2026-09-20 04:00:00+00:00,28.5,24.5,252,1544.0,12.8,22.6,212,3217.0,-4.2,32.3,22,5948.0,-30.5,8.0,297,9783.87,-41.5,3.6,360,11047.62,-52.5,8.7,254,12525.58,24.49912,54.423077,0.0,0,GMT
2026-09-20 05:00:00+00:00,28.5,23.8,253,1551.0,12.8,24.3,212,3224.0,-4.2,33.9,23,5955.0,-30.5,8.7,304,9790.32,-41.5,3.8,18,11053.33,-52.5,6.5,248,12532.56,24.49912,54.423077,0.0,0,GMT
2026-09-20 06:00:00+00:00,28.5,22.6,261,1553.0,12.8,26.7,216,3226.0,-4.2,35.0,22,5957.0,-30.5,7.7,309,9791.94,-41.5,3.8,18,11055.24,-52.5,6.8,225,12532.56,24.49912,54.423077,0.0,0,GMT
2026-09-20 07:00:00+00:00,28.4,20.5,273,1546.0,12.8,27.3,219,3220.0,-4.2,34.9,27,5950.0,-31.0,8.5,315,9783.87,-41.5,3.4,45,11047.62,-52.0,8.7,196,12525.58,24.49912,54.423077,0.0,0,GMT
2026-09-20 08:00:00+00:00,28.2,19.0,281,1544.0,12.9,25.9,222,3218.0,-4.2,35.0,31,5948.0,-31.0,8.5,315,9782.26,-41.5,2.7,63,11045.72,-52.0,12.0,180,12523.26,24.49912,54.423077,0.0,0,GMT
2026-09-20 09:00:00+00:00,28.4,18.0,286,1543.0,13.1,24.1,224,3218.0,-4.2,35.6,33,5947.0,-31.0,9.4,320,9782.26,-41.5,2.4,90,11045.72,-52.0,14.4,175,12523.26,24.49912,54.423077,0.0,0,GMT
