plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,flight_altitude_m,on_ground,velocity,true_track,vertical_rate,inside_saudi_boundary,registration,manufacturername,model,typecode,openap_typecode,aircraft_metadata_matched,weather_time,weather_location_id,weather_latitude,weather_longitude,weather_distance_km,pressure_level_hpa,flight_temperature_c,flight_wind_speed_kmh,flight_wind_direction_deg,headwind_component_ms,crosswind_component_ms,derived_airspeed_ms,fuel_flow_ready,estimated_mass_kg,fuel_flow_kg_s,co2_g_s,nox_g_s,co_g_s,hc_g_s,sox_g_s,soot_g_s
739222,4XCDE,Israel,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,35.0522,32.8457,449.58,False,43.76,17.8,3.25,False,4X-CDE,,,C172,,True,2026-09-18 15:00:00+00:00,0,32.8125,35.125,7.739359741157518,850,15.8,39.7,279.0,-1.6870938056878686,-10.897962984285597,43.46142005091696,False,,,,,,,,
74282d,JAV271,Jordan,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,35.0496,32.0513,6393.18,False,209.04,299.97,6.18,False,,,,,,False,2026-09-18 15:00:00+00:00,1,32.125,35.0,9.43362747917352,500,-5.6,57.4,259.0,12.038900427071077,-10.45419461981855,221.32593702318724,False,,,,,,,,
8015c2,IGO094,India,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,51.5766,22.9726,11414.76,False,232.84,99.8,0.0,True,,,,,,False,2026-09-18 15:00:00+00:00,2,23.022846,51.630096,7.822977886638421,250,-40.0,11.1,167.0,1.194839724893984,2.842411384064543,234.05209998530898,False,,,,,,,,
0180a0,BNL741,Libyan Arab Jamahiriya,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,50.2697,23.682,11711.94,False,248.48,292.26,0.0,True,5A-BRB,,,A320,A320,True,2026-09-18 15:00:00+00:00,3,23.725834,50.27455,4.899067928316016,250,-40.5,28.8,182.0,-2.7702463766660212,-7.5050473024870925,245.8243453375846,True,66300.0,0.7502477509800457,2370.7828930969445,10.431683221134254,1.9645366544980873,0.1767110412054063,0.9002973011760548,0.02250743252940137
728679,IAW163,Iraq,2026-09-18 15:18:45+00:00,2026-09-18 15:18:45+00:00,36.0761,31.7282,1059.18,False,74.17,260.02,-3.9,False,,,,,,False,2026-09-18 15:00:00+00:00,4,31.6875,36.125,6.471453844470332,850,16.9,41.5,287.0,10.273151420276223,5.229915906580501,84.60495164100979,False,,,,,,,,
4521ac,CYF462,Bulgaria,2026-09-18 15:17:08+00:00,2026-09-18 15:17:08+00:00,34.8784,32.006,,True,4.37,120.94,,False,,,,,,False,2026-09-18 15:00:00+00:00,5,32.0,34.875,0.7402045168975425,,,,,,,,False,,,,,,,,
70203f,BBC349,Bangladesh,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,55.5766,25.0783,11711.94,False,251.47,277.17,0.0,False,S2-AFP,Boeing,777 3E9ER,B77W,B77W,True,2026-09-18 15:00:00+00:00,6,25.13181,55.631065,8.091873469022277,250,-39.5,23.6,345.0,2.473777896689409,6.0708921551800135,254.0163342464475,True,298775.0,3.259727912332431,10300.740202970483,82.07334592362803,3.7115710457266418,0.19744573318886596,3.9116734947989173,0.09779183736997293
89605b,ROJ003,United Arab Emirates,2026-09-18 15:20:33+00:00,2026-09-18 15:20:35+00:00,53.2824,24.9582,6263.64,False,188.02,117.9,-5.53,False,A6-AIN,Boeing,737NG 7Z5 BBJ,B737,B737,True,2026-09-18 15:00:00+00:00,7,24.99121,53.2831,3.671222631326932,500,-4.4,26.6,98.0,6.947684494021429,-2.5150266765742044,194.98390537719817,True,59500.0,0.43815984563824917,1384.5851122168674,3.9294627286855124,3.2959486873062196,0.30363210350676395,0.525791814765899,0.013144795369147474
8960ae,DUB2,United Arab Emirates,2026-09-18 15:16:24+00:00,2026-09-18 15:16:25+00:00,55.4011,25.2325,45.72,False,78.43,300.77,-3.58,False,A6-MMM,Boeing,747 422,B744,B744,True,2026-09-18 15:00:00+00:00,8,25.202108,55.39957,3.382939380203574,850,29.9,19.9,261.0,4.248752700132629,-3.536160015272149,82.75433871225907,True,337280.0,2.6781857979895087,8463.067121646847,33.80297960311927,5.624660848504748,0.29300572520605855,3.21382295758741,0.08034557393968526
500205,MEA422,San Marino,2026-09-18 15:20:32+00:00,2026-09-18 15:20:34+00:00,38.7293,31.7071,10652.76,False,236.56,152.26,0.0,True,T7-ME6,,A321-271NX,A21N,A21N,True,2026-09-18 15:00:00+00:00,9,31.6875,38.6875,4.515424403341259,250,-43.0,96.5,238.0,1.9911848079366334,26.731498119308945,240.04424751485496,True,82450.0,0.5525810417291921,1746.156091864247,5.823557964170568,2.46400734126224,0.029545020319972286,0.6630972500750305,0.016577431251875763
